Gene	Gene_id	x	y	neighbour	neighbour_array	neighbour_prob
Nrsn1	25	4478	426	2259	[2259, 2279, 2269, 0]	[0.9939634212494706, 6.43773543828105e-07, 1.0466527360793445e-43, 0.006035934976985744]
Sst	37	4478	373	2279	[2279, 2259, 2277, 0]	[0.9982504455377883, 3.812246925319421e-29, 7.722632748363584e-146, 0.0017495544622116639]
Id2	15	4479	424	2259	[2259, 2279, 2269, 0]	[0.9940941250987798, 2.423201557800837e-07, 2.7396904925501626e-46, 0.0059056325810644]
Cplx2	8	4479	378	2279	[2279, 2259, 2277, 0]	[0.9671470756881879, 1.1911257020981947e-22, 2.099449736489139e-156, 0.032852924311812186]
Neurod6	21	4482	501	2262	[2262, 2269, 2248, 0]	[0.8335150975468618, 4.905466376904376e-13, 4.5674904786677626e-35, 0.16648490245264774]
Id2	15	4482	433	2259	[2259, 2279, 2269, 0]	[0.9886282794690511, 8.015269612287701e-09, 1.5063145720843883e-30, 0.011371712515679368]
Satb1	33	4484	406	2279	[2259, 2279, 2269, 0]	[7.201412509926109e-05, 0.7111515088921982, 5.395088429526786e-74, 0.28877647698270253]
Sst	37	4484	386	2279	[2279, 2259, 2277, 0]	[0.9993652186065344, 7.92678856455738e-18, 5.898442822399676e-169, 0.000634781393465527]
Sst	37	4484	370	2279	[2279, 2277, 2259, 0]	[0.9976728325536709, 1.3547155335346042e-117, 2.032934708141958e-30, 0.002327167446329064]
3110035E14Rik	0	4487	488	2273	[2269, 2262, 2273, 0]	[0.00021215267960260158, 0.00010859758644956718, 0.9311516109036293, 0.06852763883031866]
Tac1	38	4487	478	2269	[2269, 2262, 2248, 0]	[0.8740377926457744, 2.9675405702748536e-11, 5.1781849762708255e-28, 0.1259622073245502]
Sst	37	4487	413	2279	[2259, 2279, 2269, 0]	[0.0013501723603896196, 0.9517821098018091, 9.531724690708995e-59, 0.0468677178378012]
Sst	37	4487	396	2279	[2279, 2259, 2277, 0]	[0.9990546087936553, 1.8220894593273237e-11, 1.267762678023119e-198, 0.0009453911881238615]
Ndnf	20	4487	391	2279	[2279, 2259, 2277, 0]	[0.913009753294602, 2.2144536045126137e-12, 2.5558480282283586e-176, 0.08699024670318356]
Sst	37	4488	376	2279	[2279, 2277, 2259, 0]	[0.9990925527351403, 3.132853426451399e-123, 9.586800190958801e-25, 0.0009074472648596627]
Crhbp	9	4490	389	2279	[2279, 2259, 2277, 0]	[0.9913671407267103, 1.8663501888865714e-14, 1.1002321965215545e-160, 0.00863285927327107]
Reln	30	4490	377	2279	[2279, 2277, 2259, 0]	[0.9746999866624055, 3.392173456202629e-119, 4.410389111924273e-22, 0.025300013337594563]
Sst	37	4491	397	2279	[2279, 2259, 2277, 0]	[0.9993359023316918, 4.015136284498977e-11, 6.026117936419698e-191, 0.0006640976281567355]
Cadps2	4	4492	496	2273	[2269, 2262, 2273, 0]	[7.297022952173827e-09, 5.209088563385974e-05, 0.9029524771057905, 0.09699542471155273]
Neurod6	21	4493	464	2269	[2269, 2259, 2273, 0]	[0.9375383863997494, 1.5458081449117975e-16, 1.9472884819673703e-05, 0.06244214071543052]
Neurod6	21	4494	497	2273	[2269, 2262, 2273, 0]	[3.1254308412083044e-10, 1.2951308757774017e-06, 0.9818737281830887, 0.01812497637349242]
Neurod6	21	4494	405	2279	[2279, 2259, 2269, 0]	[0.6347268574420188, 1.1385155131829637e-05, 1.4420317908767237e-69, 0.3652617574028493]
Pde1a	27	4494	381	2279	[2279, 2259, 2277, 0]	[0.9417372377889998, 1.1589763532206472e-18, 7.378784294975923e-121, 0.05826276221100024]
Satb1	33	4495	479	2269	[2269, 2273, 2262, 0]	[0.9597616017972782, 0.014817906143912978, 1.998241500510835e-15, 0.02542049205880686]
Pvalb	29	4495	470	2269	[2269, 2273, 2259, 0]	[0.9949686465852468, 1.3568734775987644e-05, 7.971628548198915e-23, 0.005017784679977229]
Scg2	34	4496	386	2279	[2279, 2259, 2277, 0]	[0.9772216567304755, 2.7473967225858886e-15, 3.563618908587366e-133, 0.022778343269521644]
Neurod6	21	4498	468	2269	[2269, 2273, 2259, 0]	[0.9917852189573044, 0.000195286379610271, 8.887441977635776e-23, 0.00801949466308512]
